parent_asin,title,main_category,average_rating,rating_number,price,store,has_image,has_video,description,features,categories,bought_together
B005UE60LE,Blackfire High-uv Leather Conditioner 128 Oz.,All Beauty,5.0,1,,ViiAN,True,False,,[],[],
B01CUPMQZE,"Howard LC0008 Leather Conditioner, 8-Ounce (4-Pack)",All Beauty,4.8,10,,Howard Products,True,False,,[],[],
B005QNCIVK,Blackfire High-uv Leather Conditioner 16 Oz.,All Beauty,4.8,6,,,True,False,,[],[],
B09KKXB1SZ,COBBLER'S CHOICE CO. FINEST QUALITY All-Natural Leather Restorer Conditioner,All Beauty,4.6,544,18.0,Cobbler's Choice Co. Finest Quality,True,True,"The Cobbler's Choice Leather Conditioner is made with 100% All-Natural Ingredients including triple filtered beeswax, a unique blend of seed oils, and naturally occuring lipids. The Triple Filtered Beeswax restores dry and cracked leather while applying a safe protective layer over the leather to protect it from the elements. The unique blend of seed oils and naturally occuring lipids provide a deep condition to the leather helping restore any dry, cracked, and scratched parts of the leather. Easy application, Directions on back of label. Keep your footwear looking good for years to come with the Cobbler's Choice Leather Conditioner.","['CONDITIONS & RESTORES LEATHER -- Our unique blend of seed oils and triple filtered beeswax provide a deep and rejuvenating condition onto the leathers surface while our naturally occurring lipids help penetrate the pores of the leather to offer an even deeper condition.'
 'PROTECTS LEATHER -- The triple filtered beeswax provides a layer of defense over the leathers surface making it water resistant. The Leather Conditioner is dual effective, it conditions and protects your leather from the elements for wherever the day takes you.'
 ""Formulated with All Natural Ingredients -- We take pride in our All-Natural Leather Conditioner. Made with ingredients that are safe for both you and your leather -- Cobbler's Choice is the brand trusted by experts for unbeatable quality and clean ingredients.""
 'Easy to use; Directions on Label 1) Clean dirt, build-up, and other surface contaminants before applying. 2) Apply a small amount onto a dry cloth and work into leather using a circular motion. 3) Let Dry for one hour. Repeat process as needed.'
 ""MADE IN THE USA with Triple Filtered Beeswax, Unique Blend of Seed Oils, and Naturally Occurring Lipids. We use top of the line ingredients because we wouldn't want it any other way - Quality Guarantee!""]",[],
B0178JZSFC,Tenderly by URAD Delicate Leather Softener Conditioner w/Applicator 5 oz - Neutral,All Beauty,4.5,114,24.9,,True,False,"A softener that protects. Gives leather a soft touch. Especially suitable on leather clothing such as gloves, pants and jackets, and for any color. Tenderly suits all leather that won't put up with greasy, wax-base polishes or any regular leather care product. Particularly, exotic leathers, kid, lambskin. It will also soften cowhide and more robust leather. Works on the most delicate of leathers. Made by the same people that manufacture Leather Mate and Urad brand leather cleaner and conditioners. NEUTRAL only as all other colors are simply that colors...to get a leather conditioner a certain color they simply dye the neutral based product which results in these colors fading and washing away after they are applied. Tenderly prides itself on being the absolute best and most useful leather cleaning and conditioning product on the market. Made in Italy and used worldwide by leather loving people. Includes 15 inch blue super shammy for clean up and soft bristle shoe brush to clean off loose dirt and grime prior to using Tenderly.","['Leather softner and conditioner. A little goes a long way.'
 'Made in Italy by URAD. Cleans, moisturizes, protects and shines in only seconds.'
 'Leaves no greasy, no slippery, no sticky residue. Use for leather furniture or car seats, saddles, shoes and more.'
 'No silicone, no alcohol, biodegradable. No silicone, no alcohol, biodegradable.']",[],
B01CUPMPZA,"Howard LC0008 Leather Conditioner, 8-Ounce (2-pack)",All Beauty,4.5,53,,Howard Products,True,False,,[],[],
B07RX5C1K3,"Caviar Natural Leather Conditioner Restorer Cream for Designer Handbags, Purses, Shoes, Luggage, Bags, and Luxury Goods, Deep Conditioning Repair, Made in the USA, 30 mL",All Beauty,4.4,46,35.0,MISLUX,True,True,,"['👜 - Deep Conditioning Leather Treatment – Ideal for high-end handbags, designer purses, and fashion-forward shoes, accessories, and luggage this leather conditioner helps hydrate your leather to keep it soft, shiny, and beautiful for years to come.'
 '💁 - Restores and Retains Essential Moisture – Far more than a leather boot conditioner this leather restorer revives, replenishes, and restores your leather’s natural softness and vibrance for an amazingly healthy sheen that makes items look brand new again.'
 '💹 - Help Protect Your Investments – This bag and leather shoe conditioner provides anti-aging support by minimizing damage caused by UV rays, dirt, water, and common stains, so you can keep your bags, purses, and accessories looking fabulous.'
 '💖 - Universal Brand Support – Utilizing all-natural, chemical-free ingredients our hydro-infused leather restorer is safe to use on luxury bags including Chanel Lambskin, Hermes Togo, Louis Vuitton, Prada, Gucci, and more.'
 '🎉 - American-Made Quality – Founded in Beverly Hills, CA, our purse, shoe, and bag leather conditioner formula is backed by unmatched quality and even comes with a complimentary, reusable shine pad and bamboo finishing cloth.']",[],
B01MZ4VIX0,Lexol Leather Deep Conditioner Spray (16.9 oz.),All Beauty,3.9,8,,Lexol,True,False,,[],[],
B07YYGL9BJ,OakCityBeardCo. - Uncle Jack - 2 Ounce - Beard Butter - Leather - Bourbon - Suede - Spices - Vanilla - Saffron - Beard Conditioner,All Beauty,3.8,35,,Oak City Beard Company Beard Oil,True,False,,[],[],
B08WJPJXV8,OakCityBeardCo. - Uncle Jack - 2 Ounce - Beard Oil - Beard Conditioner - Leather - Bourbon - Suede - Vanilla - Tobacco,All Beauty,3.5,11,,Oak City Beard Company,True,False,,[],[],
